mass,"(1, 0, 0)","(1, 0, 1)","(1, 0, 2)","(2, 0, 0)","(2, 0, 1)","(2, 0, 2)","(2, 1, 0)","(2, 1, 1)","(2, 1, 2)","(1, 0)","(2, 0)","(2, 1)"
0.0001,1.9449527318270957e-06,1.8975176985241204e-06,9.697306164862152e-06,0.0010022940987520286,0.0006274893706480293,0.0008251785309219329,0.0009778913120001322,0.0006380325053290663,0.0008844324197597971,4.018505270279122e-06,0.000668870474650733,0.0006603843702700212
0.0001018610170155,1.9449765308498546e-06,1.8975181368764112e-06,9.697306165702326e-06,0.0010022951693980132,0.0006274893708669183,0.0008251785319581753,0.0009778913100257848,0.0006380325092649637,0.0008844324208664917,4.018403351682501e-06,0.0006688706732447719,0.0006603843735924685
0.0001037566678745,1.9450009648910292e-06,1.8975185901653545e-06,9.697306166393943e-06,0.0010022962687408462,0.0006274893710940302,0.0008251785330309491,0.0009778913079772668,0.0006380325133367249,0.0008844324220122099,4.018298710045669e-06,0.0006688708771595444,0.0006603843770280252
0.0001056875971184,1.945026049195351e-06,1.8975190588946596e-06,9.697306167140283e-06,0.0010022973974748682,0.0006274893713296738,0.000825178534141526,0.0009778913058517919,0.0006380325175490036,0.0008844324231983053,4.018191279764682e-06,0.0006688710865236857,0.0006603843805805065
0.0001076544612842,1.9450517993108878e-06,1.8975195435847813e-06,9.697306167747588e-06,0.0010022985563084715,0.0006274893715741695,0.0008251785352912534,0.0009778913036464693,0.0006380325219066115,0.0008844324244262214,4.018080993904219e-06,0.0006688713014684177,0.0006603843842538419
0.0001096579291267,1.945078231092808e-06,1.8975200447735547e-06,9.697306168229472e-06,0.001002299745964288,0.0006274893718278501,0.000825178536481486,0.000977891301358299,0.0006380325264145236,0.0008844324256974055,4.01796778419914e-06,0.0006688715221276079,0.0006603843880521045
0.0001116986818467,1.945105360707114e-06,1.8975205630166328e-06,9.697306169109951e-06,0.0010023009671793705,0.0006274893720910603,0.0008251785377136618,0.0009778912989841688,0.000638032531077883,0.0008844324270133811,4.017851581043299e-06,0.0006688717486377777,0.0006603843919794959
0.0001137774133221,1.9451332046343286e-06,1.8975210988882076e-06,9.697306169455766e-06,0.00100230222070538,0.0006274893723641583,0.0008251785389892451,0.0009778912965208496,0.0006380325359020083,0.0008844324283757346,4.01773231342025e-06,0.0006688719811381546,0.0006603843960403525
0.0001158948303439,1.945161779673137e-06,1.8975216529815109e-06,9.697306170131984e-06,0.0010023035073087655,0.0006274893726475156,0.0008251785403097436,0.0009778912939649904,0.0006380325408923972,0.0008844324297860569,4.017609908978508e-06,0.0006688722197707032,0.0006603844002391713
0.0001180516528568,1.9451911029439794e-06,1.8975222259094907e-06,9.697306170973178e-06,0.0010023048277709452,0.0006274893729415174,0.0008251785416767735,0.000977891291313115,0.0006380325460547343,0.0008844324312460769,4.0174842939292466e-06,0.0006688724646801359,0.0006603844045805746
0.0001202486142037,1.945221191892589e-06,1.8975228183054473e-06,9.697306172009912e-06,0.0010023061828884857,0.0006274893732465635,0.0008251785430919165,0.000977891288561616,0.0006380325513948962,0.0008844324327574853,4.017355393069162e-06,0.0006688727160139892,0.0006603844090693633
0.000122486461375,1.9452520642934677e-06,1.8975234308236448e-06,9.697306172745611e-06,0.0010023075734732782,0.0006274893735630691,0.0008251785445568976,0.0009778912857067508,0.000638032556918959,0.0008844324343221353,4.0172231297458385e-06,0.0006688729739226097,0.0006603844137104721
