mass,"(0, 0, 0)","(0, 0, 1)","(0, 0, 2)","(1, 1, 0)","(1, 1, 1)","(1, 1, 2)","(2, 2, 0)","(2, 2, 1)","(2, 2, 2)"
0.0001,,9.712944630870878,9.712952432928143,3.353830950728827,,2.596848664912937,567.9722520126928,576.4914385005108,
0.0001018610170155,,9.712944760766534,9.712952457209065,3.35383083854059,,2.5968486650377844,567.9722519445869,576.491438428773,
0.0001037566678745,,9.712944895541723,9.712952453393202,3.3538307221377273,,2.5968486651673204,567.9722518739226,576.4914383543403,
0.0001056875971184,,9.712945035379699,9.712952452324199,3.3538306013619024,,2.5968486653017235,567.9722518006035,576.4914382771112,
0.0001076544612842,,9.712945180470893,9.712952452983469,3.353830476048832,,2.596848665441176,567.9722517245302,576.4914381969811,
0.0001096579291267,,9.712945331012438,9.712952431134216,3.3538303460280594,,2.596848665585867,567.972251645599,576.4914381138407,
0.0001116986818467,,9.712945487209202,9.712952453159186,3.353830211122723,,2.596848665735993,567.9722515637027,576.4914380275769,
0.0001137774133221,,9.712945649273458,9.7129524679855,3.3538300711493187,,2.59684866589176,567.9722514787297,576.4914379380725,
0.0001158948303439,,9.712945817425753,9.712952433709331,3.353829925917447,,2.5968486660533765,567.9722513905646,576.4914378452058,
0.0001180516528568,,9.712945991894694,9.712952422550813,3.3538297752295545,,2.5968486662210664,567.9722512990874,576.4914377488503,
0.0001202486142037,,9.712946172917643,9.712952438688266,3.353829618880667,,2.5968486663950547,567.9722512041737,576.491437648875,
0.000122486461375,,9.71294636074066,9.712952456321622,3.353829456658108,,2.596848666575579,567.9722511056946,576.4914375451441,
0.000124765955263,,9.71294655561942,9.712952449099344,3.3538292883412115,,2.596848666762886,567.9722510035157,576.4914374375163,
0.0001270878709202,,9.712946757818667,9.712952457362418,3.3538291137010217,,2.5968486669572295,567.9722508974985,576.4914373258453,
0.0001294529978227,,9.712946967613508,9.712952440342542,3.353828932499979,,2.596848667158873,567.9722507874984,576.4914372099792,
0.0001318621401394,,9.712947185289323,9.712952436364333,3.353828744491599,,2.596848667368092,567.9722506733659,576.4914370897604,
0.0001343161170046,,9.712947411142123,9.712952425849933,3.3538285494201383,,2.596848667585171,567.9722505549461,576.4914369650254,
0.0001368157627967,,9.712947645478941,9.71295244495784,3.353828347020243,,2.596848667810405,567.9722504320774,576.4914368356044,
0.0001393619274224,,9.712947888618679,9.712952460360592,3.3538281370165888,,2.5968486680440983,567.9722503045931,576.4914367013216,
0.000141955476605,,9.712948140891772,9.712952464272545,3.35382791912351,,2.5968486682865723,567.9722501723196,576.4914365619942,
0.0001445972921792,,9.712948402641523,9.71295244154334,3.353827693044606,,2.596848668538156,567.972250035077,576.4914364174329,
0.0001472882723907,,9.712948674223698,9.712952431754465,3.35382745847234,,2.5968486687991903,567.9722498926786,576.4914362674407,
0.0001500293322019,,9.712948956007711,9.712952420159375,3.3538272150876214,,2.59684866907003,567.9722497449309,576.4914361118138,
0.0001528214036025,,9.712949248376704,9.712952454206754,3.353826962559369,,2.5968486693510444,567.9722495916327,576.4914359503405,
0.0001556654359271,,9.712949551728343,9.712952432487887,3.3538267005440643,,2.596848669642616,567.9722494325756,576.4914357828012,
0.0001585623961771,,9.71294986647518,9.712952448933542,3.3538264286852804,,2.5968486699451416,567.9722492675432,576.4914356089681,
0.0001615132693503,,9.71295019304528,9.712952455828407,3.3538261466131987,,2.59684867025903,567.9722490963112,576.4914354286045,
0.0001645190587753,,9.712950531882562,9.712952455625377,3.3538258539441053,,2.596848670584713,567.9722489186465,576.4914352414654,
0.000167580786453,,9.712950883448016,9.71295245296262,3.35382555027987,,2.596848670922629,567.9722487343076,576.491435047296,
0.0001706994934038,,9.712951248219555,9.712952467376642,3.353825235207404,,2.5968486712732393,567.9722485430436,576.4914348458324,
0.0001738762400216,,9.712951626693217,9.712952444132636,3.3538249082980944,,2.5968486716370216,567.9722483445946,576.4914346368004,
0.0001771121064345,,9.712952019383845,9.712952444988813,3.3538245691072266,,2.5968486720144686,567.9722481386905,576.4914344199158,
0.0001804081928719,,9.712952426825256,9.712952418595425,3.3538242171733748,,2.596848672406097,567.9722479250511,576.4914341948835,
0.0001837656200388,,9.712952849571673,9.712952433076898,3.353823852017776,,2.5968486728124365,567.9722477033861,576.4914339613975,
0.0001871855294965,,9.712953288197752,9.71295245814708,3.3538234731436787,,2.596848673234041,567.9722474733937,576.4914337191403,
0.0001906690840512,,9.712953743300092,9.712952450791667,3.353823080035664,,2.5968486736714835,567.9722472347614,576.4914334677823,
0.0001942174681489,,9.712954215497566,9.712952489271052,3.3538226721589486,,2.5968486741253596,567.9722469871646,576.4914332069815,
0.0001978318882784,,9.712954705432159,9.71295247067873,3.3538222489586538,,2.596848674596287,567.9722467302663,576.4914329363833,
0.0002015135733815,,9.71295521377005,9.712952503464154,3.3538218098590495,,2.596848675084905,567.972246463717,576.4914326556195,
0.0002052637752709,,9.712955741202546,9.712952454130493,3.353821354262774,,2.5968486755918776,567.9722461871545,576.4914323643086,
0.0002090837690555,,9.712956288446707,9.712952457080487,3.353820881550019,,2.5968486761178973,567.9722459002024,576.491432062054,
0.0002129748535745,,9.712956856246839,9.712952441139702,3.353820391077684,,2.5968486766636767,567.9722456024706,576.4914317484446,
0.0002169383518385,,9.712957445374784,9.712952480358183,3.3538198821785055,,2.596848677229959,567.9722452935539,576.491431423054,
0.0002209756114795,,9.712958056631722,9.712952480385276,3.353819354160144,,2.5968486778175137,567.9722449730322,576.4914310854396,
