mass,"(0, 0, 0)","(0, 0, 1)","(0, 0, 2)","(1, 0, 0)","(1, 0, 1)","(1, 0, 2)","(1, 1, 0)","(1, 1, 1)","(1, 1, 2)","(2, 0, 0)","(2, 0, 1)","(2, 0, 2)","(2, 1, 0)","(2, 1, 1)","(2, 1, 2)","(2, 2, 0)","(2, 2, 1)","(2, 2, 2)"
0.00012476595526308696,(2.9534515791813907-1.2420680944940555e-17j),(0.009641496076896499+0j),(0.0005774011270745512+0j),(-0.3266123543612114+0.29289069614453633j),(1.2898508287876003-3.0600522116230877e-15j),(0.06017570591569229+0j),(-0.186460293348884+0.06057947434244512j),(3.9926446083057168+6.420608303295246e-22j),(0.11977401070431004+0j),(-0.06014977331814375+0.02775401217166461j),(11.957218057528086+1.7424042974476786j),(1.2898680436621288+2.439454888092385e-15j),(-0.06014977331814375+0.02775401217166461j),(11.957218057528086+1.7424042974476786j),(1.2898680436621288+2.439454888092385e-15j),(-0.017668753004541432+0.0036279183140360645j),(-1.1092490339152483+0.7525623117178529j),(3.999557302984918+4.789826404217201e-22j)
0.0001270878709202058,(2.9392363403724104-1.7697151397927586e-17j),(0.009641495575131727+0j),(0.0005774011269667742+0j),(-0.3279639893994635+0.2928906945680892j),(1.289850231676859-1.1587952819525071e-15j),(0.060175705904459975+0j),(-0.18646030305335423+0.06057947749534817j),(3.9925083784058137+2.1011952382436697e-19j),(0.11977401068195317+0j),(-0.060230719012195205+0.02775401217132603j),(11.893298548201853+1.7424042973774418j),(1.2898680404699627-3.584372382237078e-15j),(-0.060230719012195205+0.02775401217132603j),(11.893298548201853+1.7424042973774418j),(1.2898680404699627-3.584372382237078e-15j),(-0.01766875300783946+0.003627918314713248j),(-1.1092490341223+0.7525623118583255j),(3.9995490677281453+4.355039884052689e-21j)
0.0001294529978227916,(2.924888545347894+5.1457715843988925e-18j),(0.009641495054518475+0j),(0.0005774011268549486+0j),(-0.3293025117397352+0.29289069293242015j),(1.2898496141241984-2.0122792321330962e-16j),(0.0601757058928057+0j),(-0.18646031312239145+0.06057948076669598j),(3.992369635850673+5.415124864927338e-20j),(0.11977401065875647+0j),(-0.06031087943800787+0.02775401217097471j),(11.829541932082526+1.7424042973045675j),(1.2898680371650078-1.908629504443482e-15j),(-0.06031087943800787+0.02775401217097471j),(11.829541932082526+1.7424042973045675j),(1.2898680371650078-1.908629504443482e-15j),(-0.017668753011261387+0.003627918315415871j),(-1.109249034337129+0.752562312004075j),(3.999540679332738+7.73209578677526e-21j)
0.00013186214013947485,(2.910408546981743+6.982148556759008e-18j),(0.009641494514348752+0j),(0.0005774011267389218+0j),(-0.33062792137446984+0.29289069123530426j),(1.2898489754363225+1.2108369862318114e-15j),(0.06017570588071361+0j),(-0.18646032356969158+0.06057948416093822j),(3.9922283346532583-1.8455573591866063e-20j),(0.1197740106346883+0j),(-0.060390254595579264+0.027754012170610208j),(11.765948209170293+1.7424042972289542j),(1.2898680337433248+1.9654416982817224e-15j),(-0.060390254595579264+0.027754012170610208j),(11.765948209170293+1.7424042972289542j),(1.2898680337433248+1.9654416982817224e-15j),(-0.017668753014811855+0.003627918316144888j),(-1.1092490345600285+0.7525623121552998j),(3.9995321349530317-3.0461838490598424e-21j)
0.00013431611700460153,(2.8957967465141587+6.039373562541683e-17j),(0.00964149395388797+0j),(0.0005774011266185364+0j),(-0.3319402182958276+0.29289068947443303j),(1.2898483148967959-2.5326962749261384e-15j),(0.06017570586816724+0j),(-0.18646033440946463+0.060579487682691655j),(3.992084427996954+2.774082838017164e-19j),(0.11977401060971596+0j),(-0.06046884448490681+0.027754012170232004j),(11.702517379465338+1.7424042971505027j),(1.2898680302007564-1.6748755160556072e-15j),(-0.06046884448490681+0.027754012170232004j),(11.702517379465338+1.7424042971505027j),(1.2898680302007564-1.6748755160556072e-15j),(-0.017668753018495714+0.0036279183169012925j),(-1.1092490347913027+0.7525623123122055j),(3.9995234316905517-4.1722329704157834e-21j)
0.0001368157627967472,(2.881053594373591+4.3380194066871735e-17j),(0.009641493372373968+0j),(0.0005774011264936285+0j),(-0.33323940249567474+0.2928906876474116j),(1.2898476317651029-2.7478019859472624e-15j),(0.060175705855149565+0j),(-0.18646034565645492+0.06057949133674655j),(3.9919378682210036+3.0499031895380176e-19j),(0.1197740105838055+0j),(-0.06054664910598782+0.02775401216983959j),(11.639249442967841+1.742404297069101j),(1.2898680265330977-4.852888924045118e-16j),(-0.06054664910598782+0.02775401216983959j),(11.639249442967841+1.742404297069101j),(1.2898680265330977-4.852888924045118e-16j),(-0.017668753022317955+0.003627918317686113j),(-1.1092490350312632+0.7525623124750057j),(3.999514566593039-1.9453746935044194e-20j)
0.0001393619274224142,(2.866179590982025-1.2874437780763184e-17j),(0.009641492769015938+0j),(0.0005774011263640282+0j),(-0.33452547396557103+0.2928906857517548j),(1.2898469252760072+3.184952301893418e-15j),(0.06017570584164286+0j),(-0.18646035732596034+0.06057949512807307j),(3.991788606805712+2.235807537518538e-19j),(0.11977401055692172+0j),(-0.06062366845881959+0.027754012169432445j),(11.576144399678016+1.7424042969846452j),(1.2898680227359431-2.34035880952721e-15j),(-0.06062366845881959+0.027754012169432445j),(11.576144399678016+1.7424042969846452j),(1.2898680227359431-2.34035880952721e-15j),(-0.01766875302628379+0.0036279183185004157j),(-1.10924903528024+0.7525623126439218j),(3.999505536653456-4.745804658774185e-21j)
0.00014195547660501016,(2.8511752875422602-3.92990014064903e-17j),(0.009641492142993393+0j),(0.0005774011262295593+0j),(-0.3357984326967593+0.29289068378488414j),(1.2898461946385682-1.7034984534092246e-15j),(0.06017570582762877+0j),(-0.1864603694338537+0.06057949906182814j),(3.9916365943573973+2.559659031019857e-19j),(0.11977401052902796+0j),(-0.06069990254339917+0.027754012169010005j),(11.513202249596066+1.7424042968970126j),(1.28986801880473-4.83554168928535e-16j),(-0.06069990254339917+0.027754012169010005j),(11.513202249596066+1.7424042968970126j),(1.28986801880473-4.83554168928535e-16j),(-0.017668753030398606+0.0036279183193453093j),(-1.109249035538569+0.7525623128191836j),(3.999496338808966-3.577630319489734e-21j)
0.00014459729217920195,(2.8360412868058216-2.4752486065081433e-17j),(0.00964149149345502+0j),(0.0005774011260900386+0j),(-0.3370582786801532+0.29289068174412436j),(1.2898454390354748-3.4763858458575214e-15j),(0.060175705813088176+0j),(-0.18646038199660406+0.06057950314336244j),(3.9914817805930984-2.9985718492581907e-19j),(0.11977401050008632+0j),(-0.060775351359723666+0.027754012168571682j),(11.45042299272219+1.7424042968060898j),(1.2898680147347248-2.5990494478822512e-15j),(-0.060775351359723666+0.027754012168571682j),(11.45042299272219+1.7424042968060898j),(1.2898680147347248-2.5990494478822512e-15j),(-0.017668753034668+0.0036279183202219427j),(-1.1092490358066032+0.7525623130010293j),(3.999486969939907+6.6135633642605384e-21j)
0.00014728827239075018,(2.820778243820072+3.0994825780153926e-17j),(0.009641490819517533+0j),(0.0005774011259452768+0j),(-0.33830501190632667+0.2928906796266999j),(1.289844657621988-1.214306433183765e-15j),(0.060175705798001355+0j),(-0.18646039503129902+0.06057950737822755j),(3.9913241143250233+8.644194438683778e-20j),(0.11977401047005744+0j),(-0.06085001490778992+0.02775401216811689j),(11.387806629056628+1.7424042967117523j),(1.2898680105210967+1.54975858535078e-15j),(-0.06085001490778992+0.02775401216811689j),(11.387806629056628+1.7424042967117523j),(1.2898680105210967+1.54975858535078e-15j),(-0.017668753039097786+0.0036279183211315076j),(-1.109249036084706+0.7525623131897061j),(3.999477426868739-9.105833741155293e-21j)
0.00015002933220192182,(2.8053868666531265-1.9708004245522068e-17j),(0.009641490120264475+0j),(0.0005774011257950768+0j),(-0.33953863236549764+0.2928906774297304j),(1.2898438495252016-8.118505867571457e-16j),(0.06017570578234779+0j),(-0.18646040855566823+0.06057951177218373j),(3.99116354344475-5.669372729353659e-20j),(0.1197740104389005+0j),(-0.060923893187594585+0.027754012167645017j),(11.32535315859961+1.7424042966138689j),(1.2898680061587413+9.276433787785976e-16j),(-0.060923893187594585+0.027754012167645017j),(11.32535315859961+1.7424042966138689j),(1.2898680061587413+9.276433787785976e-16j),(-0.017668753043693978+0.0036279183220752427j),(-1.109249036373257+0.7525623133854713j),(3.999467706358971-1.6723043470487618e-20j)
0.00015282140360258693,(2.7898679170951306-4.009820351885618e-17j),(0.00964148939474498+0j),(0.0005774011256392344+0j),(-0.3407591400475172+0.2928906751502279j),(1.2898430138430186+2.9698465908722937e-15j),(0.060175705766106154+0j),(-0.18646042258810777+0.06057951633120764j),(3.9910000149071574+2.53195592594794e-20j),(0.11977401040657308+0j),(-0.060996986199134635+0.027754012167155423j),(11.263062581351358+1.742404296512308j),(1.2898680016424633+4.475586568020162e-16j),(-0.060996986199134635+0.027754012167155423j),(11.263062581351358+1.742404296512308j),(1.2898680016424633+4.475586568020162e-16j),(-0.01766875304846284+0.0036279183230544317j),(-1.109249036672646+0.7525623135885904j),(3.9994578051140706-1.74615263951637e-21j)
0.00015566543592710622,(2.7742222113344193+1.0197533925251604e-17j),(0.00964148864197245+0j),(0.0005774011254775373+0j),(-0.3419665349418545+0.29289067278509145j),(1.289842149643221-2.8449465006019636e-15j),(0.06017570574925437+0j),(-0.18646043714770405+0.06057952106150035j),(3.990833474714104+3.1713227555447147e-19j),(0.1197740103730312+0j),(-0.06106929394240649+0.027754012166647447j),(11.200934897312116+1.742404296406934j),(1.289867996966862-7.502679033599691e-17j),(-0.06106929394240649+0.027754012166647447j),(11.200934897312116+1.742404296406934j),(1.289867996966862-7.502679033599691e-17j),(-0.017668753053410854+0.003627918324070404j),(-1.1092490369832846+0.7525623137993401j),(3.999447719776355-2.8090070478287754e-20j)
0.00015856239617711372,(2.7584506206071344+1.2447544256794132e-17j),(0.009641487860923252+0j),(0.000577401125309766+0j),(-0.3431608170375851+0.2928906703311045j),(1.2898412559624846-1.5334955527634975e-15j),(0.06017570573176955+0j),(-0.18646045225426125+0.06057952596949601j),(3.9906638678978252-2.0294459215408062e-19j),(0.11977401033822933+0j),(-0.06114081641740646+0.02775401216612038j),(11.138970106482176+1.7424042962976005j),(1.2898679921263416+3.1654366627886787e-15j),(-0.06114081641740646+0.02775401216612038j),(11.138970106482176+1.7424042962976005j),(1.2898679921263416+3.1654366627886787e-15j),(-0.017668753058544744+0.0036279183251245444j),(-1.109249037305591+0.7525623140180072j),(3.999437446925861-2.4141372304928722e-20j)
0.00016151326935030913,(2.7425540718187573-6.330485721552072e-18j),(0.009641487050535308+0j),(0.0005774011251356918+0j),(-0.34434198632337176+0.29289066778492884j),(1.2898403318053484+1.700029006457271e-16j),(0.06017570571362785+0j),(-0.18646046792832713+0.06057953106187046j),(3.990491138504075+1.6315421602008435e-19j),(0.11977401030212002+0j),(-0.061211553624130915+0.027754012165573504j),(11.077168208861762+1.7424042961841602j),(1.289867987115073-2.869666310134633e-15j),(-0.061211553624130915+0.027754012165573504j),(11.077168208861762+1.7424042961841602j),(1.289867987115073-2.869666310134633e-15j),(-0.017668753063871494+0.0036279183262182845j),(-1.1092490376400062+0.7525623142448887j),(3.9994269830791884-2.9949884360861374e-20j)
0.00016451905877536624,(2.726533548136125+2.1462197965143784e-17j),(0.009641486209706658+0j),(0.0005774011249550785+0j),(-0.34551004278745273+0.29289066514310147j),(1.2898393761431342-2.005340338229189e-15j),(0.06017570569480464+0j),(-0.18646048419122158+0.06057953634555032j),(3.990315229574976-2.8241121671926355e-19j),(0.1197740102646542+0j),(-0.061281505562575944+0.027754012165006087j),(11.015529204451182+1.7424042960664572j),(1.28986798192709+1.5694910648900162e-15j),(-0.061281505562575944+0.027754012165006087j),(11.015529204451182+1.7424042960664572j),(1.28986798192709+1.5694910648900162e-15j),(-0.017668753069398357+0.0036279183273531133j),(-1.1092490379869837+0.7525623144802934j),(3.999416324688332-1.7777508748111824e-20j)
0.0001675807864530767,(2.710390089548372-2.1827632132983252e-17j),(0.009641485337293944+0j),(0.00057740112476768+0j),(-0.3466649864176243+0.2928906624020288j),(1.2898383879129156+4.926614671774132e-16j),(0.06017570567527433+0j),(-0.1864605010650653+0.060579541827722405j),(3.9901360831316066+1.3185808271499303e-19j),(0.11977401022578096+0j),(-0.061350672232737644+0.027754012164417367j),(10.954053093250714+1.742404295944334j),(1.2898679765561796-9.439064113658802e-16j),(-0.061350672232737644+0.027754012164417367j),(10.954053093250714+1.742404295944334j),(1.2898679765561796-9.439064113658802e-16j),(-0.017668753075132847+0.0036279183285305733j),(-1.109249038346997+0.7525623147245416j),(3.999405468139482-2.742924427143758e-20j)
