mass,"(0, 0, 0)","(0, 0, 1)","(0, 0, 2)","(1, 0, 0)","(1, 0, 1)","(1, 0, 2)","(1, 1, 0)","(1, 1, 1)","(1, 1, 2)","(2, 0, 0)","(2, 0, 1)","(2, 0, 2)","(2, 1, 0)","(2, 1, 1)","(2, 1, 2)","(2, 2, 0)","(2, 2, 1)","(2, 2, 2)"
0.0001,(1.266446286344928+2.6923628886712143e-32j),(1.5493269813178848e-05+0j),(5.556534619260197e-08+0j),(-1.0481890647898477+0.01656207813419372j),(0.2922754791866906-2.938913388121178e-15j),(0.000604240206206301-4.586541012767406e-13j),(-2.0009024145957266+0.00029203212499654546j),(1.9941202944588354-1.8533977116682514e-34j),(0.0023952657462603805+0j),(-1.0044057629138474+0.0009150121536067677j),(-1.0582678834095292+0.10532870877091172j),(0.29001245525857455-5.107087385866159e-18j),(-1.3384545105244876+1.1703850535462433e-05j),(-1.3378228859488592+0.2922699089891728j),(0.32088862780930894+1.6456984880468445e-15j),(-2.0000051137462265+1.0473819812466603e-06j),(-2.0660885605766155+0.04490706667154232j),(1.9996452611678883+1.3248664608812247e-35j)
0.00010186101701559753,(1.257547579474488+9.608479029658173e-32j),(1.5493268777208927e-05+0j),(5.5565347541674734e-08+0j),(-1.048175861423216+0.01656228820224534j),(0.29227514562104884+1.2481808113806828e-15j),(0.000604240203080475+2.095589216814972e-13j),(-2.0009025483990355+0.0002920321452867039j),(1.9940116427578332+5.064224053143567e-29j),(0.0023952657456838833+0j),(-1.0044049428617998+0.0009150129070249514j),(-1.058267884259952+0.10532870951892503j),(0.2900124533940206-2.7326335934309526e-15j),(-1.338454515885406+1.1703850876716368e-05j),(-1.3378228616541945+0.29226990973971667j),(0.3208886258194136-3.4967300757192083e-15j),(-2.0000051142258686+1.0473819815077362e-06j),(-2.0660885610738893+0.04490706668235067j),(1.9996386635431622+1.2513722903995178e-27j)
0.00010375666787451859,(1.2485913641775217+7.132264562497297e-31j),(1.549326770232222e-05+0j),(5.5565347281899893e-08+0j),(-1.0481623452792823+0.016562506161841073j),(0.2922748008032432-4.3970273370702234e-16j),(0.0006042402019681738+4.1935375450265186e-13j),(-2.000902687229008+0.0002920321663687983j),(1.9939009954048466+7.937391460987788e-30j),(0.002395265745085723+0j),(-1.0044041029586568+0.0009150136887465538j),(-1.0582678851423226+0.10532871029503876j),(0.29001245146401045-2.448812265506905e-15j),(-1.3384545214477188+1.1703851231287775e-05j),(-1.337822836528157+0.2922699105184564j),(0.32088862375963645-3.966997277955073e-15j),(-2.0000051147235296+1.0473819817787867e-06j),(-2.066088561589844+0.044907066693565145j),(1.9996319432812313+1.810760498785768e-27j)
0.0001056875971184804,(1.2395785099718644+2.950842606549089e-32j),(1.5493266587056354e-05+0j),(5.5565347177708065e-08+0j),(-1.0481485103509318+0.016562732309438888j),(0.29227444435848016-2.5806386238941086e-17j),(0.0006042402004740634+4.63477740222887e-13j),(-2.000902831274487+0.00029203218827484473j),(1.9937883161546677+1.1387845388709369e-29j),(0.0023952657444650943+0j),(-1.004403242802729+0.0009150144998348406j),(-1.0582678860578405+0.10532871110030839j),(0.2900124494662788-1.7646859484851575e-15j),(-1.3384545272189914+1.1703851599717888e-05j),(-1.3378228105425658+0.2922699113264505j),(0.32088862162756615-3.4392231234962967e-15j),(-2.000005115239886+1.0473819820606793e-06j),(-2.0660885621251817+0.04490706670520095j),(1.9996250981049233+1.8666499982397232e-27j)
0.00010765446128423159,(1.2305099192330164+9.969459513922522e-32j),(1.549326542989865e-05+0j),(5.556534717076917e-08+0j),(-1.0481343505683358+0.01656296695263365j),(0.2922740758997011-2.083486830817473e-15j),(0.0006042402009004411+2.96283752968005e-13j),(-2.000902980731411+0.0002920322110382609j),(1.9936735681175315+8.160951834340783e-29j),(0.002395265743821151+0j),(-1.0044023619870373+0.000915015341393018j),(-1.0582678870077513+0.10532871193582949j),(0.29001244739842-1.6625855090600996e-16j),(-1.3384545332070736+1.1703851982567022e-05j),(-1.3378227836682943+0.29226991216479814j),(0.3208886194206282-1.2332647758242028e-15j),(-2.00000511577564+1.047381982353414e-06j),(-2.06608856268063+0.044907066717273736j),(1.9996181256948655+2.7985943646482134e-27j)
0.00010965792912678099,(1.22138652728936+3.280006261765577e-31j),(1.5493264229272247e-05+0j),(5.556534587449705e-08+0j),(-1.0481198598004289+0.01656321041057532j),(0.29227369502711664+2.167523023891772e-16j),(0.0006042402030966114-8.64967815945208e-14j),(-2.0009031358030804+0.00029203223469387307j),(1.9935567137481094-6.642761250909757e-29j),(0.002395265743153019+0j),(-1.0044014600993476+0.000915016214565743j),(-1.058267887993347+0.10532871280273826j),(0.2900124452580223+5.07473536286501e-16j),(-1.3384545394201113+1.1703852380422382e-05j),(-1.3378227558752416+0.2922699130346398j),(0.32088861713624517+8.206261023575601e-16j),(-2.0000051163315207+1.0473819826574242e-06j),(-2.066088563256945+0.04490706672980016j),(1.9996110236887081+1.377675220136276e-27j)
0.00011169868184678226,(1.2122093024919276+2.523660356299263e-32j),(1.5493262983546502e-05+0j),(5.556534708641824e-08+0j),(-1.0481050318564955+0.016563463014403285j),(0.29227330132790685+5.69760243608534e-16j),(0.0006042402008737055+1.2927350473439534e-13j),(-2.000903296700433+0.00029203225927804805j),(1.9934377148343336-9.06831094200749e-29j),(0.0023952657424597817+0j),(-1.0044005367222093+0.0009150171205406666j),(-1.058267889015968+0.10532871370221386j),(0.2900124430425206-9.032652905305212e-16j),(-1.3384545458665542+1.1703852793895457e-05j),(-1.3378227271322987+0.2922699139371586j),(0.3208886147717023-1.3718077717558234e-15j),(-2.0000051169082838+1.0473819829735775e-06j),(-2.0660885638549096+0.0449070667427971j),(1.9996037896803287-6.746746230277571e-28j)
0.00011377741332214914,(1.2029792462579543-6.293514393068927e-32j),(1.5493261691024857e-05+0j),(5.55653478847163e-08+0j),(-1.048089860487869+0.016563725107696547j),(0.2922728943756896-8.116195891098224e-16j),(0.0006042402052841914-1.425726643360263e-13j),(-2.0009034636423317+0.0002920322848287138j),(1.9933165324860425-7.714617810842623e-29j),(0.00239526574174051+0j),(-1.0043995914329988+0.0009150180605500581j),(-1.0582678900770053+0.10532871463547988j),(0.29001244074930677+1.1718772562640742e-15j),(-1.3384545525551719+1.1703853223622891e-05j),(-1.3378226974073149+0.2922699148735821j),(0.320888612324174+1.689253929286068e-15j),(-2.000005117506714+1.0473819833023076e-06j),(-2.066088564475338+0.04490706675628231j),(1.9995964212190274+2.942995421924077e-28j)
0.00011589483034398106,(1.1936973930874286-4.676943648104209e-31j),(1.549326034995177e-05+0j),(5.556534587211181e-08+0j),(-1.0480743393897467+0.016563997046941226j),(0.29227247373017273+1.5869067376513366e-15j),(0.0006042402061050729-3.7592178755055324e-13j),(-2.000903636855862+0.0002920323113854706j),(1.993193127123453+1.0996495678241842e-28j),(0.002395265740994204+0j),(-1.004398623803969+0.0009150190358724816j),(-1.0582678911779022+0.10532871560380552j),(0.2900124383756968+2.172936080848192e-15j),(-1.3384545594950619+1.1703853670270818e-05j),(-1.3378226666670652+0.2922699158451838j),(0.320888609790829+3.533804382577685e-15j),(-2.0000051181276253+1.0473819836440482e-06j),(-2.066088565119074+0.04490706677027412j),(1.9995889158086992+3.387216614783489e-28j)
0.00011805165285688056,(1.184364810551867-3.698791361311523e-31j),(1.5493258958502315e-05+0j),(5.556534518006556e-08+0j),(-1.048058462203123+0.016564279202015197j),(0.29227203893666465-3.6744061971855957e-16j),(0.0006042402053055354-3.9915889537519004e-13j),(-2.000903816576642+0.0002920323389896465j),(1.9930674584654506+1.4966454738300246e-28j),(0.002395265740219879+0j),(-1.0043976334023021+0.0009150200478345288j),(-1.0582678923201563+0.10532871660850796j),(0.29001243591880677-7.333372065826962e-16j),(-1.3384545666956638+1.1703854134534862e-05j),(-1.337822634877213+0.2922699168532854j),(0.3208886071685857+7.007074357306012e-16j),(-2.0000051187718624+1.0473819839992328e-06j),(-2.066088565786993+0.044907066784791616j),(1.9995812709070022-8.578463478294592e-28j)
0.00012024861420374123,(1.1749825992545861+1.2064330396541012e-32j),(1.549325751478564e-05+0j),(5.556534604753572e-08+0j),(-1.0480422225168464+0.016564571956691337j),(0.29227158952562027+2.1266807529591588e-15j),(0.0006042402025364137+1.8624675468744083e-14j),(-2.0009040030491407+0.0002920323676844083j),(1.9929394855177005+8.86501953609183e-29j),(0.0023952657394164523+0j),(-1.0043966197901681+0.000915021097812628j),(-1.0582678935053205+0.10532871765095375j),(0.2900124333758267+5.213552672765958e-15j),(-1.338454574166772+1.1703854617141872e-05j),(-1.337822602002276+0.29226991789925805j),(0.32088860445443845+5.165282303562285e-15j),(-2.000005119440301+1.0473819843682952e-06j),(-2.0660885664800035+0.044907066799854345j),(1.9995734839244994+2.0334454250521627e-27j)
0.00012248646137509307,(1.1655518927617186+4.997761147854266e-31j),(1.5493256016836307e-05+0j),(5.5565346998489445e-08+0j),(-1.0480256138697999+0.016564875709159432j),(0.29227112501220986+3.960705353075208e-16j),(0.0006042402036855396-3.6548892060151534e-15j),(-2.0009041965270136+0.0002920323975148173j),(1.9928091665605707-5.982077893588313e-30j),(0.0023952657385828413+0j),(-1.0043955825247908+0.0009150221872349165j),(-1.058267894735007+0.10532871873256089j),(0.29001243074368+8.704297055518377e-16j),(-1.338454581918549+1.1703855118849055e-05j),(-1.337822568005585+0.2922699189845245j),(0.32088860164508504+8.867175897170031e-16j),(-2.0000051201338507+1.047381984751669e-06j),(-2.066088567199048+0.044907066815483065j),(1.999565552223793-1.471497743352924e-27j)
0.00012476595526308696,(1.1560738575032867-2.5072395670849586e-32j),(1.5493254462621217e-05+0j),(5.556534652534362e-08+0j),(-1.048008629753212+0.016565190872567775j),(0.2922706448957286-1.6979514537200054e-15j),(0.0006042402010925547+2.5344095856578444e-13j),(-2.0009043972734455+0.00029203242852796074j),(1.9926764591368757-1.1581815839442842e-29j),(0.002395265737717922+0j),(-1.0043945211585152+0.0009150233175831829j),(-1.0582678960108889+0.10532871985480019j),(0.29001242801927296+9.434016991324617e-16j),(-1.3384545899615385+1.1703855640446577e-05j),(-1.337822532849248+0.2922699201105605j),(0.3208885987372486+3.459260996105987e-17j),(-2.000005120853455+1.0473819851506555e-06j),(-2.0660885679451044+0.04490706683169887j),(1.9995574731186392-1.33632135749393e-27j)
