mass,"(0, 0, 0)","(0, 0, 1)","(0, 0, 2)","(1, 0, 0)","(1, 0, 1)","(1, 0, 2)","(1, 1, 0)","(1, 1, 1)","(1, 1, 2)","(2, 0, 0)","(2, 0, 1)","(2, 0, 2)","(2, 1, 0)","(2, 1, 1)","(2, 1, 2)","(2, 2, 0)","(2, 2, 1)","(2, 2, 2)"
0.0001,(3.113628878900536+2.857583948332692e-32j),(0.009641575542363673+0j),(0.0005774011441422253+0j),(-0.43132939554578215+0.294310212418178j),(1.2960814744659823-2.953081168699762e-15j),(0.06021171949124977-2.759983445259146e-14j),(-0.18645497144367118+0.060578036484634834j),(3.994099047608908-1.8534001859479692e-34j),(0.11991745620948703+0j),(-0.06631541144796621+0.027762027239026224j),(-0.9535200790046893+1.744257381048893j),(1.2902404842543396-5.1085618048798195e-18j),(-0.04317541134670744+0.010864249891451981j),(-1.0961331909482395+1.8548342842156398j),(1.3682179508205015+1.7442544426982375e-15j),(-0.01766875130799106+0.003627918005210179j),(-1.103554048732743+0.7498632806981531j),(3.9996451490487273+1.3248664672245475e-35j)
0.00010186101701559753,(3.1010154122261477+1.0221844460375963e-31j),(0.00964157522001136+0j),(0.000577401144072989+0j),(-0.4313047494590368+0.29431021140055846j),(1.2960810741679363+1.2541979849147917e-15j),(0.06021171948383742+1.2610356105772851e-14j),(-0.18645497767781183+0.06057803851006627j),(3.993989665691406+5.064231067843929e-29j),(0.11991745619505592+0j),(-0.0663139423636922+0.02776202723880865j),(-0.9535200749181454+1.7442573810037598j),(1.2902404821499949-2.7334225062932366e-15j),(-0.04317541156460514+0.010864249955732435j),(-1.0961331612258027+1.8548342841676453j),(1.3682179485832222-3.706138769519342e-15j),(-0.017668751310109698+0.0036279180056452034j),(-1.103554048865547+0.7498632807883929j),(3.999638547456293+1.251372296616037e-27j)
0.00010375666787451859,(3.0882686111064213+7.605928206592693e-31j),(0.009641574885549835+0j),(0.0005774011440011515+0j),(-0.43127940715079754+0.2943102103447102j),(1.2960806601165218-4.4182243273460995e-16j),(0.060211719476274864+2.5234908330978505e-14j),(-0.18645498414614925+0.06057804061158671j),(3.9938782632401137+7.937402868476657e-30j),(0.11991745618008275+0j),(-0.0663124317815122+0.027762027238582905j),(-0.9535200706780843+1.7442573809569315j),(1.290240479971187-2.4495192389914667e-15j),(-0.04317541179068862+0.010864250022427697j),(-1.0961331304682238+1.8548342841178487j),(1.3682179462667687-4.204568866352383e-15j),(-0.01766875131230794+0.003627918006096571j),(-1.1035540490033395+0.749863280882023j),(3.999631823086776+1.810760508119123e-27j)
0.0001056875971184804,(3.0753883164564586+3.1547409439952466e-32j),(0.009641574538524236+0j),(0.000577401143926616+0j),(-0.4312533504620457+0.2943102092491972j),(1.296080231843307-2.59307924971307e-17j),(0.06021171946840774+2.7890100332700537e-14j),(-0.18645499085748163+0.06057804279205461j),(3.9937648031707282+1.1387862369967288e-29j),(0.11991745616454703+0j),(-0.06631087861915613+0.027762027238348676j),(-0.9535200662787411+1.7442573809083437j),(1.2902404777153127-1.7651954143154827e-15j),(-0.0431754120252652+0.010864250091628481j),(-1.0961330986396767+1.8548342840661807j),(1.3682179438683824-3.645187898123758e-15j),(-0.017668751314588782+0.003627918006564894j),(-1.1035540491463087+0.7498632809791703j),(3.9996249736580918+1.866650008222599e-27j)
0.00010765446128423159,(3.0623744068525154+1.0686284953044322e-31j),(0.00964157417846261+0j),(0.0005774011438492798+0j),(-0.43122656081893085+0.29431020811252934j),(1.296079788864095-2.0935308097849042e-15j),(0.06021171946036401+1.782908407478823e-14j),(-0.18645499782093766+0.06057804505443577j),(3.9936492477264465+8.160964460903895e-29j),(0.11991745614842769+0j),(-0.06630928176963441+0.027762027238105648j),(-0.9535200617141306+1.7442573808579307j),(1.290240475379615-1.663065498435879e-16j),(-0.04317541226865418+0.010864250163428915j),(-1.0961330657031008+1.8548342840125716j),(1.3682179413851234-1.3071213104215846e-15j),(-0.017668751316955333+0.0036279180070508104j),(-1.1035540492946487+0.749863281079967j),(3.9996179968457874+2.7985943801774013e-27j)
0.00010965792912678099,(3.0492267994579723+3.5254443175689785e-31j),(0.009641573804875275+0j),(0.0005774011437690378+0j),(-0.43119901922555315+0.29431020693316046j),(1.2960793306783285+2.1779721207333634e-16j),(0.06021171945212364-5.205004917748024e-15j),(-0.18645500504598866+0.060578047401807444j),(3.993531558466051-6.642771914636969e-29j),(0.11991745613170282+0j),(-0.06630764010080786+0.02776202723785349j),(-0.9535200569780435+1.744257380805624j),(1.290240472961318+5.076200441831352e-16j),(-0.043175412521186396+0.01086425023792666j),(-1.0961330316201607+1.8548342839569487j),(1.3682179388140412+8.69770942385753e-16j),(-0.017668751319410703+0.0036279180075549813j),(-1.1035540494485616+0.7498632811845505j),(3.9996108902822534+1.377675228068074e-27j)
0.00011169868184678226,(3.035945450946713+2.7202121931109617e-32j),(0.009641573417254166+0j),(0.0005774011436857828+0j),(-0.4311707062567081+0.2943102057094866j),(1.2960788567686543+5.725069179904583e-16j),(0.060211719443302836+7.779124442240219e-15j),(-0.18645501254246233+0.06057804983736246j),(3.993411696251783-9.068326046384999e-29j),(0.11991745611434965+0j),(-0.06630595245495613+0.027762027237591858j),(-0.9535200520640419+1.7442573807513522j),(1.2902404704574788-9.035260637302168e-16j),(-0.04317541278320547+0.010864250315223044j),(-1.0961329963512128+1.8548342838992364j),(1.3682179361520308-1.4539612315332906e-15j),(-0.017668751321958442+0.003627918008078093j),(-1.103554049608256+0.7498632812930628j),(3.9996036515559243-6.7467462705803675e-28j)
0.00011377741332214914,(3.022530358422933-6.803754173858736e-32j),(0.009641573015072125+0j),(0.0005774011435993995+0j),(-0.43114160205059626+0.2943102044398433j),(1.296078366600252-8.155322080724178e-16j),(0.06021171943455484-8.579410763330229e-15j),(-0.18645502032055505+0.060578052364413604j),(3.9932896212370177-7.714631143198271e-29j),(0.11991745609634455+0j),(-0.06630421764834254+0.027762027237320398j),(-0.9535200469654379+1.7442573806950414j),(1.2902404678650972+1.172215577890035e-15j),(-0.04317541305506778+0.0108642503954232j),(-1.0961329598552403+1.8548342838393561j),(1.3682179333958602+1.79041828889303e-15j),(-0.017668751324601772+0.0036279180086208553j),(-1.1035540497739498+0.7498632814056514j),(3.9995962782104675+2.9429954401649842e-28j)
0.00011589483034398106,(3.008981560336326-5.07170671539313e-31j),(0.009641572597782195+0j),(0.0005774011435097708+0j),(-0.4311116863015015+0.29431020312250356j),(1.2960778596203402+1.5945568257922786e-15j),(0.06021171942525225-2.262135904734291e-14j),(-0.18645502839084627+0.0605780549863981j),(3.9931652928537265+1.099651539624037e-28j),(0.11991745607766309+0j),(-0.06630243447077938+0.02776202723703874j),(-0.9535200416752999+1.7442573806366157j),(1.2902404651810824+2.1735634087223805e-15j),(-0.04317541333714292+0.01086425047863622j),(-1.0961329220898288+1.854834283777226j),(1.3682179305422824+3.7454333456021115e-15j),(-0.017668751327344467+0.0036279180091840077j),(-1.1035540499458683+0.7498632815224698j),(3.9995887677439486+3.387216636566395e-28j)
0.00011805165285688056,(2.995299137391588-4.023870077161541e-31j),(0.009641572164816882+0j),(0.0005774011434167753+0j),(-0.43108093825244304+0.29431020175567557j),(1.2960773352575357-3.692119608192783e-16j),(0.06021171941550082-2.4019668421077333e-14j),(-0.1864550367643134+0.060578057706882335j),(3.993038669799729+1.4966482583062045e-28j),(0.11991745605827982+0j),(-0.06630060168518931+0.0277620272367465j),(-0.953520036186431+1.7442573805759947j),(1.2902404624021286-7.335489214485513e-16j),(-0.04317541362981492+0.01086425056497528j),(-1.096132883011102+1.854834283712762j),(1.3682179275877755+7.426707058929989e-16j),(-0.01766875133019019+0.0036279180097683154j),(-1.1035540501242451+0.7498632816436765j),(3.999581117607993-8.578463535534427e-28j)
