mass,"(0, 0, 0)","(0, 0, 1)","(0, 0, 2)","(1, 1, 0)","(1, 1, 1)","(1, 1, 2)","(2, 2, 0)","(2, 2, 1)","(2, 2, 2)"
0.0001,8.052266656517398e-06,0.0023021838012079287,0.0384423141631021,0.0003553504757297932,0.00035595424671041735,0.010270533498369412,1.0053083639265923,0.9891004109001178,1.0053988166033059
0.0001018610170155,8.0807063142935e-06,0.0023021838781766167,0.038442313696431044,0.00035535046384838737,0.00035596394437384317,0.010270533499605378,1.0053083638060454,0.9891004107810877,1.0054004752126193
0.0001037566678745,8.109636205968151e-06,0.002302183958036684,0.038442313786292315,0.00035535045152062746,0.0003559738209730054,0.010270533500887788,1.00530836368097,0.9891004106575859,1.005402164660741
0.0001056875971184,8.139064995550816e-06,0.0023021840408967804,0.03844231382233434,0.00035535043872974474,0.00035598387978822755,0.01027053350221837,1.0053083635511961,0.9891004105294446,1.0054038855206149
0.0001076544612842,8.169001510676032e-06,0.0023021841268692942,0.03844231382473464,0.0003553504254583405,0.00035599412415931184,0.010270533503598933,1.005308363416547,0.9891004103964895,1.0054056383758132
0.0001096579291267,8.199454745979778e-06,0.002302184216071381,0.03844231427314091,0.0003553504116883624,0.0003560045574865979,0.010270533505031359,1.0053083632768394,0.9891004102585396,1.0054074238207347
0.0001116986818467,8.230433866549149e-06,0.0023021843086241923,0.0384423138539133,0.0003553503974010798,0.0003560151832320396,0.010270533506517606,1.0053083631318835,0.9891004101154075,1.0054092424608043
0.0001137774133221,8.26194821144681e-06,0.0023021844046537776,0.03844231357776615,0.00035535038257705846,0.0003560260049203012,0.01027053350805967,1.0053083629814823,0.9891004099668983,1.005411094912677
0.0001158948303439,8.294007297311763e-06,0.002302184504290568,0.038442314273966015,0.000355350367196134,0.00035603702613987154,0.010270533509659693,1.005308362825431,0.9891004098128102,1.0054129818044464
0.0001180516528568,8.32662082203805e-06,0.0023021846076701513,0.03844231451335856,0.0003553503512373842,0.000356048250544198,0.010270533511319785,1.005308362663517,0.9891004096529334,1.005414903775855
0.0001202486142037,8.359798668532907e-06,0.0023021847149330113,0.0384423142132834,0.0003553503346791012,0.00035605968185283964,0.010270533513042272,1.0053083624955208,0.9891004094870507,1.0054168614785113
0.000122486461375,8.393550908556071e-06,0.002302184826225175,0.038442313884329615,0.00035535031749876127,0.0003560713238526405,0.01027053351482947,1.0053083623212133,0.9891004093149364,1.0054188555761074
0.000124765955263,8.42788780664181e-06,0.0023021849416976965,0.03844231404800016,0.0003553502996729945,0.000356083180398923,0.010270533516683791,1.0053083621403578,0.9891004091363562,1.005420886744644
0.0001270878709202,8.462819824105392e-06,0.0023021850615079437,0.03844231390600734,0.0003553502811775532,0.00035609525541670136,0.010270533518607763,1.0053083619527081,0.9891004089510673,1.0054229556726573
0.0001294529978227,8.4983576231357e-06,0.002302185185818699,0.03844231426515241,0.0003553502619872782,0.0003561075529019165,0.010270533520604034,1.005308361758009,0.9891004087588178,1.0054250630614507
0.0001318621401394,8.534512070975681e-06,0.0023021853147989313,0.0384423143670527,0.00035535024207606556,0.00035612007692269166,0.010270533522675283,1.0053083615559957,0.9891004085593461,1.0054272096253312
0.0001343161170046,8.571294244192393e-06,0.0023021854486240537,0.03844231459916934,0.0003553502214168303,0.00035613283162060994,0.010270533524824337,1.0053083613463936,0.9891004083523808,1.0054293960918492
0.0001368157627967,8.60871543303847e-06,0.002302185587476181,0.038442314245987506,0.0003553501999814699,0.00035614582121201304,0.01027053352705414,1.0053083611289173,0.9891004081376407,1.0054316232020448
0.0001393619274224,8.646787145906737e-06,0.0023021857315438737,0.038442313967064996,0.00035535017774082606,0.00035615904998932284,0.010270533529367727,1.0053083609032711,0.9891004079148333,1.0054338917106942
0.000141955476605,8.685521113879884e-06,0.002302185881023295,0.03844231391650865,0.000355350154664645,0.00035617252232238535,0.010270533531768192,1.005308360669148,0.9891004076836559,1.005436202386567
0.0001445972921792,8.724929295377002e-06,0.0023021860361174414,0.038442314394168606,0.000355350130721536,0.00035618624265983773,0.010270533534258839,1.0053083604262298,0.989100407443794,1.0054385560126822
0.0001472882723907,8.765023880898915e-06,0.0023021861970374266,0.03844231461679655,0.00035535010587892915,0.00035620021553049784,0.010270533536843058,1.0053083601741861,0.9891004071949211,1.0054409533865727
0.0001500293322019,8.805817297874189e-06,0.0023021863640019713,0.03844231487625412,0.0003553500801030308,0.0003562144455447789,0.010270533539524361,1.005308359912674,0.989100406936699,1.005443395320553
0.0001528214036025,8.847322215607767e-06,0.0023021865372381723,0.03844231423361095,0.00035535005335877757,0.00035622893739612686,0.010270533542306408,1.0053083596413375,0.9891004066687762,1.0054458826419925
0.0001556654359271,8.88955155033425e-06,0.002302186716981505,0.038442314695706456,0.0003553500256097887,0.0003562436958624828,0.010270533545192946,1.0053083593598078,0.9891004063907887,1.005448416193593
0.0001585623961771,8.932518470377733e-06,0.002302186903476338,0.03844231440376981,0.00035534999681831645,0.00035625872580777063,0.010270533548187905,1.005308359067702,0.9891004061023579,1.005450996833673
0.0001615132693503,8.976236401420327e-06,0.0023021870969761908,0.03844231430209455,0.00035534996694519495,0.0003562740321834089,0.010270533551295419,1.0053083587646228,0.9891004058030918,1.005453625436455
0.0001645190587753,9.020719031881328e-06,0.002302187297744379,0.03844231434218708,0.00035534993594978645,0.00035628962002984954,0.010270533554519623,1.005308358450158,0.9891004054925834,1.0054563028923595
