mass,"(0, 0, 0)","(0, 0, 1)","(0, 0, 2)","(1, 1, 0)","(1, 1, 1)","(1, 1, 2)","(2, 2, 0)","(2, 2, 1)","(2, 2, 2)"
0.0001,4.3298290923129055e-06,9.221230388760333e-05,0.00037709590816783833,0.00033986776993136524,0.0002054097270519842,0.001437255700379038,1.0008969470004192,0.7985639498524698,0.580450121026129
0.0001018610170155,4.340501117369464e-06,9.221230543156973e-05,0.0003770959081900045,0.0003398677590519786,0.00020541346668196084,0.0014372557004672128,1.000896946880927,0.7985639497730985,0.5804507595599652
0.0001037566678745,4.351348182690712e-06,9.221230703353552e-05,0.0003770959082135453,0.00033986774776388146,0.00020541727540596713,0.0014372557005586995,1.0008969467569457,0.7985639496907455,0.5804514099682876
0.0001056875971184,4.362373085672265e-06,9.221230869567939e-05,0.0003770959082379162,0.0003398677360517193,0.0002054211544934139,0.0014372557006536234,1.0008969466283069,0.7985639496052988,0.5804520724717793
0.0001076544612842,4.373578668319089e-06,9.221231042026183e-05,0.0003770959082631699,0.0003398677238995609,0.00020542510523680632,0.0014372557007521134,1.0008969464948356,0.7985639495166421,0.58045274729522
0.0001096579291267,4.384967817983046e-06,9.221231220962827e-05,0.00037709590828979335,0.0003398677112908763,0.00020542912895215703,0.0014372557008543029,1.0008969463563502,0.7985639494246548,0.5804534346675616
0.0001116986818467,4.396543468113163e-06,9.22123140662122e-05,0.0003770959083165816,0.0003398676982085145,0.0002054332269794065,0.0014372557009603316,1.0008969462126622,0.7985639493292119,0.5804541348220058
0.0001137774133221,4.408308599018803e-06,9.221231599253856e-05,0.0003770959083445263,0.0003398676846346803,0.0002054374006828504,0.0014372557010703434,1.0008969460635766,0.7985639492301836,0.5804548479960826
0.0001158948303439,4.4202662386459604e-06,9.22123179912271e-05,0.00037709590837444856,0.0003398676705509101,0.00020544165145157495,0.001437255701184488,1.0008969459088903,0.7985639491274352,0.5804555744317309
0.0001180516528568,4.432419463366894e-06,9.221232006499598e-05,0.00037709590840503883,0.00033986765593804606,0.00020544598069989925,0.0014372557013029206,1.0008969457483927,0.7985639490208267,0.580456314375379
0.0001202486142037,4.444771398783285e-06,9.221232221666542e-05,0.0003770959084362605,0.0003398676407762111,0.00020545038986782553,0.0014372557014258023,1.000896945581866,0.7985639489102133,0.5804570680780294
0.000122486461375,4.457325220543182e-06,9.221232444916165e-05,0.0003770959084686387,0.0003398676250447812,0.00020545488042149725,0.0014372557015533004,1.0008969454090835,0.7985639487954446,0.5804578357953417
0.000124765955263,4.4700841551718935e-06,9.221232676552068e-05,0.0003770959085027099,0.00033986760872235734,0.00020545945385366487,0.001437255701685588,1.0008969452298098,0.7985639486763644,0.5804586177877206
0.0001270878709202,4.4830514809170975e-06,9.221232916889264e-05,0.0003770959085377666,0.00033986759178673685,0.00020546411168416003,0.0014372557018228454,1.0008969450438014,0.7985639485528108,0.580459414320402
0.0001294529978227,4.496230528608367e-06,9.221233166254598e-05,0.00037709590857461814,0.00033986757421488245,0.00020546885546037758,0.0014372557019652588,1.0008969448508056,0.7985639484246155,0.5804602256635438
0.0001318621401394,4.5096246825313314e-06,9.221233424987186e-05,0.0003770959086125991,0.0003398675559828917,0.00020547368675776607,0.0014372557021130224,1.0008969446505593,0.7985639482916045,0.5804610520923165
0.0001343161170046,4.523237381316718e-06,9.221233693438884e-05,0.00037709590865212564,0.00033986753706596407,0.0002054786071803267,0.0014372557022663368,1.0008969444427906,0.7985639481535967,0.5804618938869957
0.0001368157627967,4.537072118844494e-06,9.221233971974763e-05,0.00037709590869257646,0.00033986751743836705,0.0002054836183611208,0.0014372557024254112,1.0008969442272166,0.7985639480104044,0.5804627513330567
0.0001393619274224,4.55113244516334e-06,9.221234260973601e-05,0.00037709590873462946,0.0003398674970734016,0.00020548872196278606,0.0014372557025904612,1.0008969440035442,0.7985639478618328,0.5804636247212714
