mass,"(1, 0, 0)","(1, 0, 1)","(1, 0, 2)","(2, 0, 0)","(2, 0, 1)","(2, 0, 2)","(2, 1, 0)","(2, 1, 1)","(2, 1, 2)","(1, 0)","(2, 0)","(2, 1)"
0.0001,2.0032694899857343e-06,3.726168021280155e-06,8.200469841624141e-05,0.0008721380002360914,0.0008462158000434886,0.0016199098117163158,0.0009286022078060759,0.000899284944830143,0.0017421541755347132,2.3762691092788336e-06,0.0006554872136495846,0.0006961751345164696
0.0001018610170155,2.003269444101898e-06,3.7261701539450466e-06,8.200469863030234e-05,0.0008721380001610261,0.0008462157996732467,0.0016199098169246873,0.0009286022068277839,0.0008992849463041582,0.0017421541811397747,2.3762688325651506e-06,0.0006554872128974445,0.0006961751347730794
0.0001037566678745,2.003269389354798e-06,3.726172358551118e-06,8.200469870640961e-05,0.000872138000064162,0.0008462157992890962,0.001619909822315901,0.0009286022058127402,0.0008992849478273664,0.0017421541869416274,2.376268530853355e-06,0.0006554872121125771,0.0006961751350362988
0.0001056875971184,2.0032693251983768e-06,3.726174637494735e-06,8.200469880867175e-05,0.0008721379999441014,0.0008462157988905143,0.0016199098278962857,0.0009286022047595643,0.0008992849494013838,0.001742154192947054,2.3762682027723124e-06,0.0006554872112936291,0.0006961751353062685
0.0001076544612842,2.003269251060669e-06,3.726176993250695e-06,8.200469877935362e-05,0.0008721379997993791,0.0008462157984769591,0.0016199098336725601,0.0009286022036668239,0.0008992849510278786,0.0017421541991633118,2.3762678468970245e-06,0.0006554872104391825,0.0006961751355831154
0.0001096579291267,2.003269166342745e-06,3.726179428375213e-06,8.200469862877988e-05,0.0008721379996284587,0.0008462157980478682,0.0016199098396514615,0.0009286022025330324,0.0008992849527085726,0.0017421542055976484,2.3762674617341625e-06,0.0006554872095477771,0.0006961751358669823
0.0001116986818467,2.003269070417609e-06,3.7261819455078242e-06,8.200469878096116e-05,0.0008721379994297304,0.0008462157976026578,0.0016199098458401558,0.000928602201356648,0.000899284954445243,0.0017421542122577093,2.376267045713743e-06,0.000655487208617882,0.0006961751361580043
0.0001137774133221,2.003268962629068e-06,3.7261845473748027e-06,8.20046984786725e-05,0.0008721379992015074,0.0008462157971407225,0.0016199098522459274,0.0009286022001360701,0.0008992849562397242,0.0017421542191514525,2.3762665972250425e-06,0.0006554872076479145,0.000696175136456314
0.0001158948303439,2.0032688422905495e-06,3.7261872367913747e-06,8.200469842230959e-05,0.0008721379989420231,0.0008462157966614336,0.0016199098588762747,0.0009286021988696387,0.0008992849580939092,0.0017421542262868375,2.3762661145499405e-06,0.0006554872066362324,0.0006961751367620602
0.0001180516528568,2.003268708683885e-06,3.7261900166648537e-06,8.200469847695966e-05,0.0008721379986494272,0.0008462157961641397,0.001619909865739252,0.0009286021975556314,0.0008992849600097519,0.0017421542336725536,2.376265595915709e-06,0.0006554872055811083,0.0006961751370753653
