constraint_1 x,constraint_1 y,constraint_2 x,constraint_2 y,constraint_3 x,constraint_3 y
69.15758828738525,1.0,0.217438947560008,1.181165783671e-05,0.2900430493863992,7.334956568013098e-06
0.001,1.0,0.217438947560008,9.805258175413e-06,0.2900430493863992,6.847471455879e-06
0.001,3e-08,0.217438947560008,8.344340703329e-06,0.29680586086656024,6.304133002555594e-06
0.0020197857568198785,2.6843987265853752e-08,0.2199593068030075,7.061460996391278e-06,0.30024617090855493,5.075049605178381e-06
0.0020431973201952705,2.6749310286437164e-08,0.22250887981283693,5.664031024087793e-06,0.30372635797033115,4.666219408362336e-06
0.0020668802496290823,2.6654967226506724e-08,0.22508800520954617,5.201639493866693e-06,0.30724688427090036,4.476182214290199e-06
0.00209083769055575,2.6560956908350153e-08,0.227697025538168,5.9440145622160225e-06,0.3108082173869064,4.685378665088693e-06
0.0021150728248687948,2.646727815840917e-08,0.23033628731421313,5.673652511219954e-06,0.3144108303147265,4.9043520089919615e-06
0.0021395888713434215,2.637392980726456e-08,0.23300614106969247,4.587066264297483e-06,0.318055201533292,5.133559173631543e-06
0.00216438908606402,2.6280910689621287e-08,0.23570694139967277,3.708576947820847e-06,0.318055201533292,1.446437361626238e-05
0.002189476762856621,2.618821964429452e-08,0.23843904700937205,3.742969513953195e-06,0.3144108303147265,1.575512011683695e-05
0.0022148552337263594,2.6095855514194836e-08,0.2412028207618007,3.92888390596584e-06,0.3108082173869064,1.5951979096948045e-05
0.0022405278693000182,2.600381714631353e-08,0.243998629725955,7.0995730525561515e-06,0.30724688427090036,1.563118535285306e-05
0.0022664980792736927,2.5912103391708752e-08,0.24682684522556925,7.716567606847476e-06,0.30372635797033115,1.465885847669174e-05
0.002292769312865649,2.5820713105490805e-08,0.24968784288843268,7.852420884237053e-06,0.30372635797033115,1.436076741144e-05
0.0023193450592744274,2.5729645146808027e-08,0.25258200269627845,7.268021794189983e-06,0.29680586086656024,1.470703692595684e-05
0.0023462288481422623,2.56388983788322e-08,0.2555097090352507,7.188298115644187e-06,0.2934049709215787,1.4524092700422285e-05
0.002373424250023866,2.5548471668744893e-08,0.2584713507469564,7.725110577127727e-06,0.2900430493863992,1.3147297590799618e-05
0.0024009348768606518,2.5458363887723052e-08,0.26146732118010924,8.302011473198708e-06,0.2900430493863992,1.120268435645e-05
0.0024287643824604504,2.5368573910924636e-08,0.26449801824277197,8.921994554380783e-06,0.2900430493863992,1.031315384838e-05
0.00245691646298279,2.5293162147138238e-08,0.26756384445520454,8.685141020514272e-06,0.2900430493863992,9.69263158237e-06
0.0024853948574297983,2.525195163111884e-08,0.27066520700332414,7.877963658403169e-06,0.2900430493863992,8.923004301835e-06
0.0025142033481427967,2.521080825999095e-08,0.27380251779278575,1.5597957678995076e-05,0.2900430493863992,8.526002797203e-06
0.002543345761304648,2.516973192435452e-08,0.26449801824277197,1.5792111601079317e-05,0.2900430493863992,7.334956568013098e-06
0.002572825967447932,2.512872251498773e-08,0.26146732118010924,1.626788673177465e-05,,
0.0026026478819690044,2.5087779922846464e-08,0.2584713507469564,1.675799572615498e-05,,
0.00263281546564802,2.5046904039064536e-08,0.2555097090352507,1.726287042614493e-05,,
0.002663332725174981,2.500609475495314e-08,0.25258200269627845,1.778295568393999e-05,,
0.0026942037136818823,2.4965351962000284e-08,0.24968784288843268,1.831870975397187e-05,,
0.0027254325312810277,2.4924675551871054e-08,0.24682684522556925,1.8870604696683023e-05,,
0.0027570233256095826,2.4884065416407035e-08,0.243998629725955,1.9439126794465702e-05,,
0.0027889802923804397,2.4843521447625778e-08,0.2412028207618007,1.852060282221117e-05,,
