Belle_II x,Belle_II y,LHCbD x,LHCbD y,STAR x,STAR y,HPS x,HPS y,LHCb_mumu_1 x,LHCb_mumu_1 y,LHCb_mumu_2 x,LHCb_mumu_2 y
0.019783188827841643,0.002591610096540726,0.0027570233256095826,0.002700331180068974,0.010023075482838654,0.0007205117021047043,0.038599936176797675,3.283966825099492e-05,0.20764301072557748,0.00048179038449864615,0.20764301072557748,4.358922134112029e-06
0.020012497989690372,0.00010128431323148776,0.0027889802923804397,0.0016817895085557456,0.010139254075588154,0.000712153681812473,0.03686095362172158,2.8219121378139655e-05,0.21004982416539153,4.884086859472182e-05,0.21004982416539153,1.6965192742341023e-06
0.020244465099768037,0.00010213435570239122,0.002821307675939471,0.0014968498521096424,0.010256779307444218,0.0007038926155363968,0.03686095362172158,2.3623836140157845e-05,0.21248453524988828,4.0847510345250676e-05,0.21248453524988828,1.6342055198149704e-06
0.020479120966650853,0.0001029915322711553,0.0028540097698292375,0.0013322472689729073,0.01037566678745186,0.0006957273785985101,0.038599936176797675,1.813482045902639e-05,0.21494746734379805,4.0022804816132735e-05,0.21494746734379805,1.5741805716880987e-06
0.020716496756020688,0.00010385590281167339,0.0028870909173592347,0.0011857453726465976,0.010495932305582278,0.0006876568593672448,0.0390473523688556,1.7754006475331603e-05,0.217438947560008,3.9214749976469587e-05,0.217438947560008,1.5163603611869094e-06
0.02095662399480433,0.00010472752770033875,0.002920555512182745,0.0010571940542567866,0.010617591834830001,0.0006796799591060915,0.03949995461220643,1.7381189223145997e-05,0.2199593068030075,3.8423009651166444e-05,0.2199593068030075,1.4606639075167554e-06
0.02119953457536071,0.00010560646782026178,0.00295440799888038,0.000947816629185245,0.010740661533334334,0.0006717955918240094,0.039957803018952694,1.7016200778712596e-05,0.22250887981283693,3.764725445245699e-05,0.22250887981283693,1.4070132043362804e-06
0.021445260759716676,0.000104772069709598,0.0029886528735503827,0.0008497554057770688,0.010865157746525383,0.0006640026841275842,0.04042095839796308,1.6658876744513705e-05,0.22508800520954617,3.6887161642867705e-05,0.22508800520954617,1.3553331105047097e-06
0.021693835183851845,0.00010339964607986234,0.0030232946844057766,0.000761839608435726,0.010991097009294973,0.0006563001750748889,0.040889482262948626,1.6309056175223174e-05,0.227697025538168,3.617012200769697e-05,0.227697025538168,1.3071430912593713e-06
0.021945290862033135,0.0001020452000144214,0.003058338032378432,0.0006830195901498767,0.01111849604819271,0.000648687016031049,0.041363436840632754,1.596104216855315e-05,0.23033628731421313,3.6330161818708606e-05,0.23033628731421313,1.3098015370205491e-06
0.022199661191199548,0.00010070849602270816,0.0030937875717301365,0.0006198472562940855,0.01124737178364752,0.0006411621705254778,0.041842885079015825,1.5568632978137648e-05,0.23300614106969247,3.649090974845712e-05,0.23300614106969247,1.312465389484262e-06
0.02245697995539774,9.938930169887947e-05,0.0031296480106707504,0.0005870789331046747,0.011377741332214914,0.000633724614110767,0.04232789065573551,1.5185871338997109e-05,0.23570694139967277,3.665236893011382e-05,0.23570694139967277,1.3151346596465707e-06
0.02271728133026905,9.808738768140774e-05,0.0031659241119835206,0.000556042912500687,0.011509622008850324,0.0006263733342232206,0.042818517986524134,1.4812520061871226e-05,0.23843904700937205,3.6814542510713196e-05,0.23843904700937205,1.3178093585259007e-06
0.02298059988758851,9.680252761320334e-05,0.00320262069365765,0.000526647616032104,0.011643031329208768,0.0006191073300449996,0.043314832233764006,1.4212184912543496e-05,0.2412028207618007,3.697743365121421e-05,0.2412028207618007,1.3204894971630856e-06
0.02324697059985648,9.553449810225906e-05,0.0032397426295281955,0.0004988063065581378,0.011777987011971193,0.0006119256123678684,0.043816899315141926,1.3610707289062178e-05,0.243998629725955,3.714104552656195e-05,0.243998629725955,1.323175086621414e-06
0.023516428844943486,9.428307868281019e-05,0.003277294849923382,0.0004724368323106653,0.01191450698119776,0.0006048272034585243,0.044324785912403984,1.3034684958611098e-05,0.24682684522556925,3.730538132574948e-05,0.24682684522556925,1.3258661379866748e-06
0.023789010410788933,9.304805177700263e-05,0.0033152823423194234,0.00044746138448777253,0.012052609368708425,0.0005978111369254858,0.044838559480211884,1.2483040621024889e-05,0.24968784288843268,3.747044425188005e-05,0.24968784288843268,1.3285626623672027e-06
0.024064751500154243,9.18292026570648e-05,0.0033537101520029287,0.00042380626766215263,0.012192312516491107,0.0005908764575875241,0.04535828825510189,1.195474256884235e-05,0.25258200269627845,3.763623752222946e-05,0.25258200269627845,1.3312646708939251e-06
0.024343688735431104,9.062631940797328e-05,0.003392583382740992,0.0004014016823269188,0.01233363497913776,0.0005840222213436267,0.04588404126454759,1.1620106629089363e-05,0.2555097090352507,3.780276436830887e-05,0.2555097090352507,1.3339721747204067e-06
0.024625859163505466,8.943919289060847e-05,0.0034319071974590427,0.00038018151893714954,0.012476595526308698,0.0005772474950444629,0.046415888336127795,1.1421732985090707e-05,0.2584713507469564,3.797002803592746e-05,0.2584713507469564,1.3366851850228961e-06
